Hid;ln
5137500;8375
5137900;9213
5138300;4265
5138400;7497
5138500;7348
5139200;6996
5139400;1093
5139500;6432
5139700;5692
5140000;4533
5140100;8660
5141600;268
5141700;4210
5141800;3926
5141900;3361
5142000;6341
5142100;6100
5142200;1473
5142900;1386
5143300;336
5143600;902
5144300;390
5144700;6190
5144900;5032
5145100;1092
5145200;4248
5145201;4096
5145300;3046
5145400;8989
5145401;1367
5145500;5321
5145600;3823
5145800;9154
5146100;8576
5146300;528
5146500;156
5146800;7983
5147200;3354
5147400;2295
5147700;3037
5147900;8354
5148000;6172
5148400;7181
5148500;2422
5148700;1491
5149100;4347
5149400;8056
5150000;7184
5150100;4542
5150300;1193
5150400;948
5150600;4156
5151000;2691
5151300;6045
5151700;3401
5152200;1562
5152700;7600
5153200;652
5153500;7781
