jahr;HID;hgew;D002000;D003000;D004010;D004020;hsize;bundesld;db100;region;oecdregtyp;urtyp;modus
2019;5844700; ;11;22;-3;-3; ;2;3;4;-1;-1; 
2019;5844800; ;11;22;-3;-3; ;3;3;4;-1;-1; 
2019;5844900;927,63699;11;11;3;0;3;3;2;3;3;103;1
2019;5845000;984,6218;11;11;6;4;6;5;1;2;2;101;1
2019;5845100; ;11;22;-3;-3; ;6;2;3;-1;-1; 
2019;5845200;576,23981;11;11;2;0;2;3;2;4;3;410;1
2019;5845300; ;11;22;-3;-3; ;4;2;3;-1;-1; 
2019;5845400; ;11;22;-3;-3; ;1;2;4;-1;-1; 
2019;5845500;527,44909;11;11;3;0;3;4;3;4;2;310;1
2019;5845600;1200,41631;11;11;4;0;4;3;3;4;3;430;1
2019;5845700; ;21;-3;-3;-3; ;4;1;2;-1;-1; 
2019;5845800; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5845900;724,48974;11;11;1;0;1;9;1;1;1;101;1
2019;5846000; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5846100;606,61803;11;11;2;0;2;4;2;4;2;310;1
2019;5846200; ;11;22;-3;-3; ;4;2;3;-1;-1; 
