"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MAJAPPLY","MAJA_PLY","GFTC_MAJ","GFTC0MAJ","MAJ_MO","MAJ_MO_","MAJPURX","MAJPURX_","MAJRENTX","MAJR_NTX","MAJINSTX","MAJI_STX","MJAPPL1","MJAPPL1_","MJAPPL2","MJAPPL2_","MJAPPL3","MJAPPL3_","MJAPPL4","MJAPPL4_","MJAPPL5","MJAPPL5_","MJAPPL6","MJAPPL6_","MJAPPL7","MJAPPL7_","MJAPPL8","MJAPPL8_","MJAPPL9","MJAPPL9_"
"20193","04230641","1","1","1","140","D","1","D","05","D","637","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04230641","1","2","1","195","D","1","D","05","D","463","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04230641","2","0","1","220","D","1","D","05","D","","H","","A","","A","195","D","140","D","","A","","A","","A","","A","","A","","A","","A"
"20193","04230641","2","1","1","195","D","1","D","05","D","90","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04230641","2","2","1","140","D","1","D","05","D","124","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04230674","1","0","1","120","D","1","D","06","D","140","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04230701","1","0","1","195","D","1","D","05","D","800","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04230871","1","0","1","140","D","1","D","07","D","220","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04230971","1","0","1","120","D","1","D","05","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04231251","1","0","1","120","D","1","D","06","D","130","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04231421","1","0","1","160","D","3","D","07","D","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04231551","1","0","1","120","D","1","D","06","D","220","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04231631","1","0","1","120","D","1","D","07","D","66","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04231881","1","0","1","195","D","1","D","06","D","1236","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04232121","1","0","1","100","D","1","D","06","D","205","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
