"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MEDRCARY","MEDR_ARY","MEDRGFTC","MEDR_FTC","MEDRMBMO","MEDR_BMO","MEDRMBX","MEDRMBX_","MEDRCY1","MEDRCY1_","MEDRCY2","MEDRCY2_","MEDRCY3","MEDRCY3_","MEDRCY4","MEDRCY4_","MEDRCY5","MEDRCY5_","MEDRCY6","MEDRCY6_","MEDRCY7","MEDRCY7_","MEDRCY8","MEDRCY8_","MEDRCY9","MEDRCY9_","MEDRPRNT","MEDR_RNT","MEDRNOUT","MEDR_OUT"
"20191","04110701","24","0","1","900","D","1","D","01","D","","H","900","D","420","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04110701","24","1","1","420","D","1","D","01","D","24","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04110701","24","2","1","620","D","1","D","01","D","16","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04111241","16","0","1","620","D","1","D","12","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04111381","12","0","1","420","D","1","D","02","D","896","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","03944474","13","0","2","620","D","1","D","01","D","57","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","03945874","18","0","1","120","D","1","D","03","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","03946784","23","0","2","520","D","1","D","01","D","4491","T","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","03946984","10","0","1","200","D","1","D","02","D","600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","03947524","14","0","1","410","D","1","D","03","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
